"product_key","product_type","product_name","product_type_name"
1,7,"USB missile launcher (Green)","USB Novelties"
2,7,"USB rocket launcher (Gray)","USB Novelties"
3,6,"Office cube periscope (Black)","Computing Novelties"
4,7,"USB food flash drive - sushi roll","USB Novelties"
5,6,"USB food flash drive - hamburger","Computing Novelties"
6,6,"USB food flash drive - hot dog","Computing Novelties"
7,1,"USB food flash drive - pizza slice","Novelty Items"
8,6,"USB food flash drive - dim sum 10 drive variety pack","Computing Novelties"
9,7,"USB food flash drive - banana","USB Novelties"
10,7,"USB food flash drive - chocolate bar","USB Novelties"
11,7,"USB food flash drive - cookie","USB Novelties"
12,7,"USB food flash drive - donut","USB Novelties"
13,7,"USB food flash drive - shrimp cocktail","USB Novelties"
14,6,"USB food flash drive - fortune cookie","Computing Novelties"
15,7,"USB food flash drive - dessert 10 drive variety pack","USB Novelties"
16,3,"DBA joke mug - mind if I join you? (White)","Mugs"
17,3,"DBA joke mug - mind if I join you? (Black)","Mugs"
18,6,"DBA joke mug - daaaaaa-ta (White)","Computing Novelties"
19,3,"DBA joke mug - daaaaaa-ta (Black)","Mugs"
20,1,"DBA joke mug - you might be a DBA if (White)","Novelty Items"
21,1,"DBA joke mug - you might be a DBA if (Black)","Novelty Items"
22,3,"DBA joke mug - it depends (White)","Mugs"
23,3,"DBA joke mug - it depends (Black)","Mugs"
24,6,"DBA joke mug - I will get you in order (White)","Computing Novelties"
25,3,"DBA joke mug - I will get you in order (Black)","Mugs"
26,3,"DBA joke mug - SELECT caffeine FROM mug (White)","Mugs"
27,3,"DBA joke mug - SELECT caffeine FROM mug (Black)","Mugs"
28,3,"DBA joke mug - two types of DBAs (White)","Mugs"
29,6,"DBA joke mug - two types of DBAs (Black)","Computing Novelties"
30,6,"Developer joke mug - Oct 31 = Dec 25 (White)","Computing Novelties"
31,6,"Developer joke mug - Oct 31 = Dec 25 (Black)","Computing Novelties"
32,3,"Developer joke mug - that's a hardware problem (White)","Mugs"
33,6,"Developer joke mug - that's a hardware problem (Black)","Computing Novelties"
34,3,"Developer joke mug - fun was unexpected at this time (White)","Mugs"
35,6,"Developer joke mug - fun was unexpected at this time (Black)","Computing Novelties"
36,3,"Developer joke mug - when your hammer is C++ (White)","Mugs"
37,3,"Developer joke mug - when your hammer is C++ (Black)","Mugs"
38,3,"Developer joke mug - inheritance is the OO way to become wealthy (White)","Mugs"
39,3,"Developer joke mug - inheritance is the OO way to become wealthy (Black)","Mugs"
40,3,"Developer joke mug - (hip, hip, array) (White)","Mugs"
41,1,"Developer joke mug - (hip, hip, array) (Black)","Novelty Items"
42,1,"Developer joke mug - understanding recursion requires understanding recursion (White)","Novelty Items"
43,6,"Developer joke mug - understanding recursion requires understanding recursion (Black)","Computing Novelties"
44,1,"Developer joke mug - there are 10 types of people in the world (White)","Novelty Items"
45,1,"Developer joke mug - there are 10 types of people in the world (Black)","Novelty Items"
46,6,"Developer joke mug - a foo walks into a bar (White)","Computing Novelties"
47,3,"Developer joke mug - a foo walks into a bar (Black)","Mugs"
48,1,"Developer joke mug - this code was generated by a tool (White)","Novelty Items"
49,1,"Developer joke mug - this code was generated by a tool (Black)","Novelty Items"
50,1,"Developer joke mug - old C developers never die (White)","Novelty Items"
51,3,"Developer joke mug - old C developers never die (Black)","Mugs"
52,6,"IT joke mug - keyboard not found … press F1 to continue (White)","Computing Novelties"
53,3,"IT joke mug - keyboard not found … press F1 to continue (Black)","Mugs"
54,1,"IT joke mug - that behavior is by design (White)","Novelty Items"
55,1,"IT joke mug - that behavior is by design (Black)","Novelty Items"
56,3,"IT joke mug - hardware: part of the computer that can be kicked (White)","Mugs"
57,1,"IT joke mug - hardware: part of the computer that can be kicked (Black)","Novelty Items"
58,9,"RC toy sedan car with remote control (Black) 1/50 scale","Toys"
59,1,"RC toy sedan car with remote control (Red) 1/50 scale","Novelty Items"
60,1,"RC toy sedan car with remote control (Blue) 1/50 scale","Novelty Items"
61,1,"RC toy sedan car with remote control (Green) 1/50 scale","Novelty Items"
62,9,"RC toy sedan car with remote control (Yellow) 1/50 scale","Toys"
63,1,"RC toy sedan car with remote control (Pink) 1/50 scale","Novelty Items"
64,1,"RC vintage American toy coupe with remote control (Red) 1/50 scale","Novelty Items"
65,9,"RC vintage American toy coupe with remote control (Black) 1/50 scale","Toys"
66,1,"RC big wheel monster truck with remote control (Black) 1/50 scale","Novelty Items"
67,1,"Ride on toy sedan car (Black) 1/12 scale","Novelty Items"
68,9,"Ride on toy sedan car (Red) 1/12 scale","Toys"
69,9,"Ride on toy sedan car (Blue) 1/12 scale","Toys"
70,9,"Ride on toy sedan car (Green) 1/12 scale","Toys"
71,9,"Ride on toy sedan car (Yellow) 1/12 scale","Toys"
72,1,"Ride on toy sedan car (Pink) 1/12 scale","Novelty Items"
73,1,"Ride on vintage American toy coupe (Red) 1/12 scale","Novelty Items"
74,1,"Ride on vintage American toy coupe (Black) 1/12 scale","Novelty Items"
75,9,"Ride on big wheel monster truck (Black) 1/12 scale","Toys"
76,4,"""The Gu"" red shirt XML tag t-shirt (White) 3XS","T-Shirts"
77,2,"""The Gu"" red shirt XML tag t-shirt (White) XXS","Clothing"
78,2,"""The Gu"" red shirt XML tag t-shirt (White) XS","Clothing"
79,4,"""The Gu"" red shirt XML tag t-shirt (White) S","T-Shirts"
80,2,"""The Gu"" red shirt XML tag t-shirt (White) M","Clothing"
81,4,"""The Gu"" red shirt XML tag t-shirt (White) L","T-Shirts"
82,2,"""The Gu"" red shirt XML tag t-shirt (White) XL","Clothing"
83,2,"""The Gu"" red shirt XML tag t-shirt (White) XXL","Clothing"
84,4,"""The Gu"" red shirt XML tag t-shirt (White) 3XL","T-Shirts"
85,4,"""The Gu"" red shirt XML tag t-shirt (White) 4XL","T-Shirts"
86,2,"""The Gu"" red shirt XML tag t-shirt (White) 5XL","Clothing"
87,6,"""The Gu"" red shirt XML tag t-shirt (White) 6XL","Computing Novelties"
