"time_key","date","month","quarter","year"
20130101,"2013-01-01",1,1,2013
20130102,"2013-01-02",1,1,2013
20130103,"2013-01-03",1,1,2013
20130104,"2013-01-04",1,1,2013
20130105,"2013-01-05",1,1,2013
20130107,"2013-01-07",1,1,2013
20130108,"2013-01-08",1,1,2013
20130109,"2013-01-09",1,1,2013
20130110,"2013-01-10",1,1,2013
20130111,"2013-01-11",1,1,2013
20130112,"2013-01-12",1,1,2013
20130114,"2013-01-14",1,1,2013
20130115,"2013-01-15",1,1,2013
20130116,"2013-01-16",1,1,2013
20130117,"2013-01-17",1,1,2013
20130118,"2013-01-18",1,1,2013
20130119,"2013-01-19",1,1,2013
20130121,"2013-01-21",1,1,2013
20130122,"2013-01-22",1,1,2013
20130123,"2013-01-23",1,1,2013
20130124,"2013-01-24",1,1,2013
20130125,"2013-01-25",1,1,2013
20130126,"2013-01-26",1,1,2013
20130128,"2013-01-28",1,1,2013
20130129,"2013-01-29",1,1,2013
20130130,"2013-01-30",1,1,2013
20130131,"2013-01-31",1,1,2013
20130201,"2013-02-01",2,1,2013
20130202,"2013-02-02",2,1,2013
20130204,"2013-02-04",2,1,2013
20130205,"2013-02-05",2,1,2013
20130206,"2013-02-06",2,1,2013
20130207,"2013-02-07",2,1,2013
20130208,"2013-02-08",2,1,2013
20130209,"2013-02-09",2,1,2013
20130211,"2013-02-11",2,1,2013
20130212,"2013-02-12",2,1,2013
20130213,"2013-02-13",2,1,2013
20130214,"2013-02-14",2,1,2013
20130215,"2013-02-15",2,1,2013
20130216,"2013-02-16",2,1,2013
20130218,"2013-02-18",2,1,2013
20130219,"2013-02-19",2,1,2013
20130220,"2013-02-20",2,1,2013
20130221,"2013-02-21",2,1,2013
20130222,"2013-02-22",2,1,2013
20130223,"2013-02-23",2,1,2013
20130225,"2013-02-25",2,1,2013
20130226,"2013-02-26",2,1,2013
20130227,"2013-02-27",2,1,2013
20130228,"2013-02-28",2,1,2013
20130301,"2013-03-01",3,1,2013
20130302,"2013-03-02",3,1,2013
20130304,"2013-03-04",3,1,2013
20130305,"2013-03-05",3,1,2013
20130306,"2013-03-06",3,1,2013
20130307,"2013-03-07",3,1,2013
20130308,"2013-03-08",3,1,2013
20130309,"2013-03-09",3,1,2013
20130311,"2013-03-11",3,1,2013
20130312,"2013-03-12",3,1,2013
20130313,"2013-03-13",3,1,2013
20130314,"2013-03-14",3,1,2013
20130315,"2013-03-15",3,1,2013
20130316,"2013-03-16",3,1,2013
20130318,"2013-03-18",3,1,2013
20130319,"2013-03-19",3,1,2013
20130320,"2013-03-20",3,1,2013
20130321,"2013-03-21",3,1,2013
20130322,"2013-03-22",3,1,2013
20130323,"2013-03-23",3,1,2013
20130325,"2013-03-25",3,1,2013
20130326,"2013-03-26",3,1,2013
20130327,"2013-03-27",3,1,2013
20130328,"2013-03-28",3,1,2013
20130329,"2013-03-29",3,1,2013
20130330,"2013-03-30",3,1,2013
20130401,"2013-04-01",4,2,2013
20130402,"2013-04-02",4,2,2013
20130403,"2013-04-03",4,2,2013
20130404,"2013-04-04",4,2,2013
20130405,"2013-04-05",4,2,2013
20130406,"2013-04-06",4,2,2013
20130408,"2013-04-08",4,2,2013
20130409,"2013-04-09",4,2,2013
20130410,"2013-04-10",4,2,2013
20130411,"2013-04-11",4,2,2013
20130412,"2013-04-12",4,2,2013
20130413,"2013-04-13",4,2,2013
20130415,"2013-04-15",4,2,2013
20130416,"2013-04-16",4,2,2013
20130417,"2013-04-17",4,2,2013
20130418,"2013-04-18",4,2,2013
20130419,"2013-04-19",4,2,2013
20130420,"2013-04-20",4,2,2013
20130422,"2013-04-22",4,2,2013
20130423,"2013-04-23",4,2,2013
20130424,"2013-04-24",4,2,2013
20130425,"2013-04-25",4,2,2013
20130426,"2013-04-26",4,2,2013
20130427,"2013-04-27",4,2,2013
20130429,"2013-04-29",4,2,2013
20130430,"2013-04-30",4,2,2013
20130501,"2013-05-01",5,2,2013
20130502,"2013-05-02",5,2,2013
20130503,"2013-05-03",5,2,2013
20130504,"2013-05-04",5,2,2013
20130506,"2013-05-06",5,2,2013
20130507,"2013-05-07",5,2,2013
20130508,"2013-05-08",5,2,2013
20130509,"2013-05-09",5,2,2013
20130510,"2013-05-10",5,2,2013
20130511,"2013-05-11",5,2,2013
20130513,"2013-05-13",5,2,2013
20130514,"2013-05-14",5,2,2013
20130515,"2013-05-15",5,2,2013
20130516,"2013-05-16",5,2,2013
20130517,"2013-05-17",5,2,2013
20130518,"2013-05-18",5,2,2013
20130520,"2013-05-20",5,2,2013
20130521,"2013-05-21",5,2,2013
20130522,"2013-05-22",5,2,2013
20130523,"2013-05-23",5,2,2013
20130524,"2013-05-24",5,2,2013
20130525,"2013-05-25",5,2,2013
20130527,"2013-05-27",5,2,2013
20130528,"2013-05-28",5,2,2013
20130529,"2013-05-29",5,2,2013
20130530,"2013-05-30",5,2,2013
20130531,"2013-05-31",5,2,2013
20130601,"2013-06-01",6,2,2013
20130603,"2013-06-03",6,2,2013
20130604,"2013-06-04",6,2,2013
20130605,"2013-06-05",6,2,2013
20130606,"2013-06-06",6,2,2013
20130607,"2013-06-07",6,2,2013
20130608,"2013-06-08",6,2,2013
20130610,"2013-06-10",6,2,2013
20130611,"2013-06-11",6,2,2013
20130612,"2013-06-12",6,2,2013
20130613,"2013-06-13",6,2,2013
20130614,"2013-06-14",6,2,2013
20130615,"2013-06-15",6,2,2013
20130617,"2013-06-17",6,2,2013
20130618,"2013-06-18",6,2,2013
20130619,"2013-06-19",6,2,2013
20130620,"2013-06-20",6,2,2013
20130621,"2013-06-21",6,2,2013
20130622,"2013-06-22",6,2,2013
20130624,"2013-06-24",6,2,2013
20130625,"2013-06-25",6,2,2013
20130626,"2013-06-26",6,2,2013
20130627,"2013-06-27",6,2,2013
20130628,"2013-06-28",6,2,2013
20130629,"2013-06-29",6,2,2013
20130701,"2013-07-01",7,3,2013
20130702,"2013-07-02",7,3,2013
20130703,"2013-07-03",7,3,2013
20130704,"2013-07-04",7,3,2013
20130705,"2013-07-05",7,3,2013
20130706,"2013-07-06",7,3,2013
20130708,"2013-07-08",7,3,2013
20130709,"2013-07-09",7,3,2013
20130710,"2013-07-10",7,3,2013
20130711,"2013-07-11",7,3,2013
20130712,"2013-07-12",7,3,2013
20130713,"2013-07-13",7,3,2013
20130715,"2013-07-15",7,3,2013
20130716,"2013-07-16",7,3,2013
20130717,"2013-07-17",7,3,2013
20130718,"2013-07-18",7,3,2013
20130719,"2013-07-19",7,3,2013
20130720,"2013-07-20",7,3,2013
20130722,"2013-07-22",7,3,2013
20130723,"2013-07-23",7,3,2013
20130724,"2013-07-24",7,3,2013
20130725,"2013-07-25",7,3,2013
20130726,"2013-07-26",7,3,2013
20130727,"2013-07-27",7,3,2013
20130729,"2013-07-29",7,3,2013
20130730,"2013-07-30",7,3,2013
20130731,"2013-07-31",7,3,2013
20130801,"2013-08-01",8,3,2013
20130802,"2013-08-02",8,3,2013
20130803,"2013-08-03",8,3,2013
20130805,"2013-08-05",8,3,2013
20130806,"2013-08-06",8,3,2013
20130807,"2013-08-07",8,3,2013
20130808,"2013-08-08",8,3,2013
20130809,"2013-08-09",8,3,2013
20130810,"2013-08-10",8,3,2013
20130812,"2013-08-12",8,3,2013
20130813,"2013-08-13",8,3,2013
20130814,"2013-08-14",8,3,2013
20130815,"2013-08-15",8,3,2013
20130816,"2013-08-16",8,3,2013
20130817,"2013-08-17",8,3,2013
20130819,"2013-08-19",8,3,2013
20130820,"2013-08-20",8,3,2013
20130821,"2013-08-21",8,3,2013
20130822,"2013-08-22",8,3,2013
20130823,"2013-08-23",8,3,2013
20130824,"2013-08-24",8,3,2013
20130826,"2013-08-26",8,3,2013
20130827,"2013-08-27",8,3,2013
20130828,"2013-08-28",8,3,2013
20130829,"2013-08-29",8,3,2013
20130830,"2013-08-30",8,3,2013
20130831,"2013-08-31",8,3,2013
20130902,"2013-09-02",9,3,2013
20130903,"2013-09-03",9,3,2013
20130904,"2013-09-04",9,3,2013
20130905,"2013-09-05",9,3,2013
20130906,"2013-09-06",9,3,2013
20130907,"2013-09-07",9,3,2013
20130909,"2013-09-09",9,3,2013
20130910,"2013-09-10",9,3,2013
20130911,"2013-09-11",9,3,2013
20130912,"2013-09-12",9,3,2013
20130913,"2013-09-13",9,3,2013
20130914,"2013-09-14",9,3,2013
20130916,"2013-09-16",9,3,2013
20130917,"2013-09-17",9,3,2013
20130918,"2013-09-18",9,3,2013
20130919,"2013-09-19",9,3,2013
20130920,"2013-09-20",9,3,2013
20130921,"2013-09-21",9,3,2013
20130923,"2013-09-23",9,3,2013
20130924,"2013-09-24",9,3,2013
20130925,"2013-09-25",9,3,2013
20130926,"2013-09-26",9,3,2013
20130927,"2013-09-27",9,3,2013
20130928,"2013-09-28",9,3,2013
20130930,"2013-09-30",9,3,2013
20131001,"2013-10-01",10,4,2013
20131002,"2013-10-02",10,4,2013
20131003,"2013-10-03",10,4,2013
20131004,"2013-10-04",10,4,2013
20131005,"2013-10-05",10,4,2013
20131007,"2013-10-07",10,4,2013
20131008,"2013-10-08",10,4,2013
20131009,"2013-10-09",10,4,2013
20131010,"2013-10-10",10,4,2013
20131011,"2013-10-11",10,4,2013
20131012,"2013-10-12",10,4,2013
20131014,"2013-10-14",10,4,2013
20131015,"2013-10-15",10,4,2013
20131016,"2013-10-16",10,4,2013
20131017,"2013-10-17",10,4,2013
20131018,"2013-10-18",10,4,2013
20131019,"2013-10-19",10,4,2013
20131021,"2013-10-21",10,4,2013
20131022,"2013-10-22",10,4,2013
20131023,"2013-10-23",10,4,2013
20131024,"2013-10-24",10,4,2013
20131025,"2013-10-25",10,4,2013
20131026,"2013-10-26",10,4,2013
20131028,"2013-10-28",10,4,2013
20131029,"2013-10-29",10,4,2013
20131030,"2013-10-30",10,4,2013
20131031,"2013-10-31",10,4,2013
20131101,"2013-11-01",11,4,2013
20131102,"2013-11-02",11,4,2013
20131104,"2013-11-04",11,4,2013
20131105,"2013-11-05",11,4,2013
20131106,"2013-11-06",11,4,2013
20131107,"2013-11-07",11,4,2013
20131108,"2013-11-08",11,4,2013
20131109,"2013-11-09",11,4,2013
20131111,"2013-11-11",11,4,2013
20131112,"2013-11-12",11,4,2013
20131113,"2013-11-13",11,4,2013
20131114,"2013-11-14",11,4,2013
20131115,"2013-11-15",11,4,2013
20131116,"2013-11-16",11,4,2013
20131118,"2013-11-18",11,4,2013
20131119,"2013-11-19",11,4,2013
20131120,"2013-11-20",11,4,2013
20131121,"2013-11-21",11,4,2013
20131122,"2013-11-22",11,4,2013
20131123,"2013-11-23",11,4,2013
20131125,"2013-11-25",11,4,2013
20131126,"2013-11-26",11,4,2013
20131127,"2013-11-27",11,4,2013
20131128,"2013-11-28",11,4,2013
20131129,"2013-11-29",11,4,2013
20131130,"2013-11-30",11,4,2013
20131202,"2013-12-02",12,4,2013
20131203,"2013-12-03",12,4,2013
20131204,"2013-12-04",12,4,2013
20131205,"2013-12-05",12,4,2013
20131206,"2013-12-06",12,4,2013
20131207,"2013-12-07",12,4,2013
20131209,"2013-12-09",12,4,2013
20131210,"2013-12-10",12,4,2013
20131211,"2013-12-11",12,4,2013
20131212,"2013-12-12",12,4,2013
20131213,"2013-12-13",12,4,2013
20131214,"2013-12-14",12,4,2013
20131216,"2013-12-16",12,4,2013
20131217,"2013-12-17",12,4,2013
20131218,"2013-12-18",12,4,2013
20131219,"2013-12-19",12,4,2013
20131220,"2013-12-20",12,4,2013
20131221,"2013-12-21",12,4,2013
20131223,"2013-12-23",12,4,2013
20131224,"2013-12-24",12,4,2013
20131225,"2013-12-25",12,4,2013
20131226,"2013-12-26",12,4,2013
20131227,"2013-12-27",12,4,2013
20131228,"2013-12-28",12,4,2013
20131230,"2013-12-30",12,4,2013
20131231,"2013-12-31",12,4,2013
20140101,"2014-01-01",1,1,2014
20140102,"2014-01-02",1,1,2014
20140103,"2014-01-03",1,1,2014
20140104,"2014-01-04",1,1,2014
20140106,"2014-01-06",1,1,2014
20140107,"2014-01-07",1,1,2014
20140108,"2014-01-08",1,1,2014
20140109,"2014-01-09",1,1,2014
20140110,"2014-01-10",1,1,2014
20140111,"2014-01-11",1,1,2014
20140113,"2014-01-13",1,1,2014
20140114,"2014-01-14",1,1,2014
20140115,"2014-01-15",1,1,2014
20140116,"2014-01-16",1,1,2014
20140117,"2014-01-17",1,1,2014
20140118,"2014-01-18",1,1,2014
20140120,"2014-01-20",1,1,2014
20140121,"2014-01-21",1,1,2014
20140122,"2014-01-22",1,1,2014
20140123,"2014-01-23",1,1,2014
20140124,"2014-01-24",1,1,2014
20140125,"2014-01-25",1,1,2014
20140127,"2014-01-27",1,1,2014
20140128,"2014-01-28",1,1,2014
20140129,"2014-01-29",1,1,2014
20140130,"2014-01-30",1,1,2014
20140131,"2014-01-31",1,1,2014
20140201,"2014-02-01",2,1,2014
20140203,"2014-02-03",2,1,2014
20140204,"2014-02-04",2,1,2014
20140205,"2014-02-05",2,1,2014
20140206,"2014-02-06",2,1,2014
20140207,"2014-02-07",2,1,2014
20140208,"2014-02-08",2,1,2014
20140210,"2014-02-10",2,1,2014
20140211,"2014-02-11",2,1,2014
20140212,"2014-02-12",2,1,2014
20140213,"2014-02-13",2,1,2014
20140214,"2014-02-14",2,1,2014
20140215,"2014-02-15",2,1,2014
20140217,"2014-02-17",2,1,2014
20140218,"2014-02-18",2,1,2014
20140219,"2014-02-19",2,1,2014
20140220,"2014-02-20",2,1,2014
20140221,"2014-02-21",2,1,2014
20140222,"2014-02-22",2,1,2014
20140224,"2014-02-24",2,1,2014
20140225,"2014-02-25",2,1,2014
20140226,"2014-02-26",2,1,2014
20140227,"2014-02-27",2,1,2014
20140228,"2014-02-28",2,1,2014
20140301,"2014-03-01",3,1,2014
20140303,"2014-03-03",3,1,2014
20140304,"2014-03-04",3,1,2014
20140305,"2014-03-05",3,1,2014
20140306,"2014-03-06",3,1,2014
20140307,"2014-03-07",3,1,2014
20140308,"2014-03-08",3,1,2014
20140310,"2014-03-10",3,1,2014
20140311,"2014-03-11",3,1,2014
20140312,"2014-03-12",3,1,2014
20140313,"2014-03-13",3,1,2014
20140314,"2014-03-14",3,1,2014
20140315,"2014-03-15",3,1,2014
20140317,"2014-03-17",3,1,2014
20140318,"2014-03-18",3,1,2014
20140319,"2014-03-19",3,1,2014
20140320,"2014-03-20",3,1,2014
20140321,"2014-03-21",3,1,2014
20140322,"2014-03-22",3,1,2014
20140324,"2014-03-24",3,1,2014
20140325,"2014-03-25",3,1,2014
20140326,"2014-03-26",3,1,2014
20140327,"2014-03-27",3,1,2014
20140328,"2014-03-28",3,1,2014
20140329,"2014-03-29",3,1,2014
20140331,"2014-03-31",3,1,2014
20140401,"2014-04-01",4,2,2014
20140402,"2014-04-02",4,2,2014
20140403,"2014-04-03",4,2,2014
20140404,"2014-04-04",4,2,2014
20140405,"2014-04-05",4,2,2014
20140407,"2014-04-07",4,2,2014
20140408,"2014-04-08",4,2,2014
20140409,"2014-04-09",4,2,2014
20140410,"2014-04-10",4,2,2014
20140411,"2014-04-11",4,2,2014
20140412,"2014-04-12",4,2,2014
20140414,"2014-04-14",4,2,2014
20140415,"2014-04-15",4,2,2014
20140416,"2014-04-16",4,2,2014
20140417,"2014-04-17",4,2,2014
20140418,"2014-04-18",4,2,2014
20140419,"2014-04-19",4,2,2014
20140421,"2014-04-21",4,2,2014
20140422,"2014-04-22",4,2,2014
20140423,"2014-04-23",4,2,2014
20140424,"2014-04-24",4,2,2014
20140425,"2014-04-25",4,2,2014
20140426,"2014-04-26",4,2,2014
20140428,"2014-04-28",4,2,2014
20140429,"2014-04-29",4,2,2014
20140430,"2014-04-30",4,2,2014
20140501,"2014-05-01",5,2,2014
20140502,"2014-05-02",5,2,2014
20140503,"2014-05-03",5,2,2014
